ticker,date,gics_sub_industry,embedding_peers,benchmark_peers,embedding_peer_corr,benchmark_peer_corr,corr_diff
A,2011-10-31,Life Sciences Tools & Services,TECH|INTC|IDXX|TEL|DHR,WAT|CRL|DHR|MTD|TMO,0.9222447397059673,0.9150503340250437,0.007194405680923666
ABT,2011-10-31,Health Care Equipment,BSX|SJM|CBRE|BDX|BMY,EW|IDXX|ISRG|MDT|ZBH,0.9299753065323467,0.8837240161548314,0.0462512903775153
ACGL,2011-10-31,Property & Casualty Insurance,CB|MET|WTW|WRB|AJG,CINF|HIG|PGR|CB|WRB,0.8223441601023221,0.7948296675787137,0.02751449252360849
ADBE,2011-10-31,Application Software,MSFT|ORCL|CRM|UNH|AKAM,ADSK|CDNS|PTC|TRMB|FICO,0.8754823445825475,0.877119324334967,-0.0016369797524194984
ADI,2011-10-31,Semiconductors,TXN|TEL|DD|SW|CRH,MU|NXPI|MPWR|TXN|ON,0.8983251313821711,0.881638740052516,0.016686391329655104
ADSK,2011-10-31,Application Software,BBY|CTSH|JBL|PTC|ACN,SNPS|ADBE|ORCL|TYL|CDNS,0.8880659997089029,0.8766618606255351,0.011404139083367792
AEE,2011-10-31,Multi-Utilities,AMGN|AME|WMB|MMM|O,CMS|SRE|DTE|D|NI,0.8161536985387906,0.9060722332778414,-0.08991853473905076
AEP,2011-10-31,Electric Utilities,LNT|XEL|CMS|PFE|ROK,EXC|LNT|PEG|EIX|WEC,0.9244363051665602,0.9432660437916777,-0.018829738625117498
ALB,2011-10-31,Specialty Chemicals,APD|LMT|WFC|TECH|ORLY,ECL|LYB|IFF|DD|PPG,0.9031974493784397,0.9589164213707067,-0.05571897199226694
ALL,2011-10-31,Property & Casualty Insurance,AIZ|AON|PGR|BXP|JBL,ACGL|TRV|CB|HIG|CINF,0.8713988117999292,0.8501573970338816,0.021241414766047573
AMD,2011-10-31,Semiconductors,KEY|NTAP|PSA|NVDA|CDNS,FSLR|QCOM|MCHP|ON|AVGO,0.9117539576526685,0.8677120346802903,0.04404192297237819
AMP,2011-10-31,Asset Management & Custody Banks,BX|ACN|MRSH|IVZ|MAA,BK|BX|TROW|NTRS|IVZ,0.9682315809683295,0.9789328302272917,-0.010701249258962209
APA,2011-10-31,Oil & Gas Exploration & Production,JKHY|EVRG|DPZ|PSKY|AVGO,OXY|CTRA|EQT|DVN|COP,0.9129587145776189,0.9436287613554059,-0.030670046777786952
