ticker,first_year,latest_year,late_ai_mentions,early_ai,late_ai,ai_change,early_cloud_compute,late_cloud_compute,cloud_compute_change,early_cybersecurity,late_cybersecurity,cybersecurity_change,early_supply_chain,late_supply_chain,supply_chain_change,early_electrification,late_electrification,electrification_change,company_name,gics_sector,gics_sub_industry
EPAM,2013,2026,46,0.0,56.73374154767673,56.73374154767673,1.6372138495358133,39.3301660608643,37.69295221132849,1.3151928523064118,33.035019012529695,31.719826160223285,0.8703067257165057,12.047414438398068,11.177107712681563,0.31231511364388026,0.7864910255627661,0.4741759119188858,EPAM Systems,Information Technology,IT Consulting & Other Services
ADBE,2010,2026,134,1.9142364967588827,49.72181738185901,47.80758088510013,38.52949049769635,47.46424432274107,8.934753825044716,1.775978754880881,20.40457266946025,18.62859391457937,1.7470772361035705,6.058909186447967,4.311831950344397,0.7063462436493809,0.11425959780621572,-0.5920866458431652,Adobe Inc.,Information Technology,Application Software
ADP,2010,2025,64,0.0,46.15500518542748,46.15500518542748,6.744011178826662,18.423378761823436,11.679367582996774,10.294723297705033,37.079887335624726,26.785164037919692,0.5688294070120734,0.7768383886982532,0.20800898168617976,1.6318932300084157,0.0,-1.6318932300084157,Automatic Data Processing,Industrials,Human Resource & Employment Services
AMZN,2010,2026,57,0.0,39.2330485642137,39.2330485642137,4.942649739846349,13.874842454442096,8.932192714595747,2.1420195003066564,3.0359441105111364,0.89392461020448,9.201100486257308,21.672628026178145,12.471527539920837,0.0,0.0,0.0,Amazon,Consumer Discretionary,Broadline Retail
EFX,2011,2026,98,0.0,37.62575448681939,37.62575448681939,2.346156717576314,17.651822123407634,15.30566540583132,13.513183905173063,31.132357152120527,17.61917324694746,3.874513833315988,4.799850878023614,0.9253370447076259,0.07476076555023924,1.133249234791284,1.0584884692410448,Equifax,Industrials,Research & Consulting Services
PANW,2013,2025,67,0.30923754391173125,32.81782046521005,32.50858292129831,31.65091552413487,57.55702091096762,25.906105386832753,3.3302319949083796,24.631937936764032,21.30170594185565,13.014707425703255,15.086107752733588,2.0714003270303323,0.652702452880345,1.5284579537510545,0.8757555008707095,Palo Alto Networks,Information Technology,Systems Software
NVDA,2010,2026,121,22.958793825781463,55.39565870017923,32.43686487439777,160.58743138952948,192.1695884393354,31.582157049805915,0.28792840266699593,10.383678805857663,10.095750403190667,13.857624347626686,32.890900057685556,19.03327571005887,6.4141697123265144,5.338882664047285,-1.0752870482792298,Nvidia,Information Technology,Semiconductors
CDNS,2011,2026,71,0.9356798489026628,31.902357278585324,30.96667742968266,38.801365767621505,60.713197206874966,21.91183143925346,0.15778843726331734,6.2036911783091035,6.045902741045786,6.286540940340288,7.58290842000879,1.2963674796685023,0.7910387342610674,1.0741867386302322,0.28314800436916476,Cadence Design Systems,Information Technology,Application Software
NOW,2013,2026,56,0.44455221467830586,26.321132819604525,25.876580604926218,50.16152282611432,31.59512796593755,-18.56639486017677,0.4605326224995438,11.717963067897879,11.257430445398334,0.5409439959189257,8.972570119520736,8.43162612360181,0.663117082348768,0.30579781660358946,-0.3573192657451785,ServiceNow,Information Technology,Systems Software
INTU,2010,2025,59,2.8322127597952917,27.676225821326828,24.844013061531534,13.796113926179386,4.627369553136032,-9.168744373043353,2.873110133552513,13.889073008240878,11.015962874688364,2.4904528428644643,3.6003395675869476,1.1098867247224833,0.6611955788846253,2.2583549870181767,1.5971594081335514,Intuit,Information Technology,Application Software
NWSA,2014,2025,45,0.0,24.815620879187872,24.815620879187872,0.622571667169576,0.9984063742353001,0.3758347070657241,3.7720408276947124,15.180326089310944,11.408285261616232,2.515187934376962,10.851826372615456,8.336638438238493,0.08971828458639872,0.9193249325575428,0.829606647971144,News Corp (Class A),Communication Services,Publishing
EMR,2010,2025,19,0.0,22.64678844774394,22.64678844774394,15.528939417315891,4.49713467722624,-11.031804740089651,12.45041428611963,54.71768327220013,42.267268986080495,12.486122482402061,15.386045032778382,2.8999225503763206,10.598793110234315,11.771365882756825,1.1725727725225106,Emerson Electric,Industrials,Electrical Components & Equipment
ORCL,2010,2025,41,0.3741429787393252,22.778347793883047,22.40420481514372,89.98356591648222,144.63683430094497,54.65326838446275,0.3397679719447584,8.619389876455037,8.279621904510279,17.67888116416025,15.626929691579699,-2.0519514725805497,0.5524990143245474,0.28707828344794656,-0.26542073087660084,Oracle Corporation,Information Technology,Application Software
QCOM,2010,2025,47,3.319316199335768,25.72126841968148,22.401952220345713,21.90078554077243,40.08537407180623,18.1845885310338,1.5806022118144774,10.366501599310109,8.78589938749563,25.399580191695414,31.16380916572317,5.7642289740277555,3.383476776999978,2.07462211851326,-1.3088546584867182,Qualcomm,Information Technology,Semiconductors
MSFT,2010,2025,43,2.800885377604049,24.584969240088096,21.784083862484046,44.03816656011021,53.04712379820841,9.008957238098198,1.3823167333082287,20.524414800774586,19.142098067466357,9.052103224958636,14.69318227489274,5.641079049934104,0.0,0.0,0.0,Microsoft,Information Technology,Systems Software
META,2013,2026,77,3.471853099707791,25.13106305572741,21.65920995601962,10.457953133942391,5.72847176994432,-4.7294813639980715,0.0,4.43260683282243,4.43260683282243,1.5331633956036628,4.6339446199203636,3.100781224316701,2.1004876909540973,0.3549125285894629,-1.7455751623646343,Meta Platforms,Communication Services,Interactive Media & Services
VRSK,2012,2026,42,0.44957560063300245,22.037188163586475,21.58761256295347,12.937198656532399,14.74836870332561,1.8111700467932117,1.4508266432430506,8.795887228569615,7.345060585326564,9.939758600106364,10.64330946175124,0.7035508616448762,1.0247023077729316,2.4780360911926005,1.453333783419669,Verisk Analytics,Industrials,Research & Consulting Services
