gics_sector,tickers,early_ai,late_ai,ai_change,early_cloud_compute,late_cloud_compute,cloud_compute_change,early_cybersecurity,late_cybersecurity,cybersecurity_change,early_supply_chain,late_supply_chain,supply_chain_change,early_electrification,late_electrification,electrification_change
Information Technology,73,1.4993357707311508,14.623449442662615,13.124113671931465,38.99511573650969,44.800921828050086,5.805806091540397,2.424898864712883,17.07101276511814,14.646113900405258,15.864842361478484,20.879005435654822,5.014163074176338,7.4117802958817585,6.812718563228089,-0.5990617326536691
Communication Services,20,0.6628919543925375,9.311069621622696,8.64817766723016,2.7978186588291707,4.171152590643817,1.373333931814646,3.660530065123418,13.66143037573671,10.000900310613293,5.498180286161512,8.129942758097446,2.631762471935934,1.9914916120463764,1.5677093391592811,-0.42378227288709525
Industrials,79,0.029377104849163553,6.5238052887108875,6.494428183861724,2.726418815595522,4.690723714747856,1.9643048991523337,4.231184664866361,18.784831828134834,14.553647163268472,17.993659248140595,27.356125702205844,9.362466454065249,3.3370449220500817,7.762510526683833,4.425465604633752
Financials,76,0.12403464379310221,6.383723301639221,6.259688657846119,1.2781832662367891,2.616828909721379,1.33864564348459,3.2529831031283223,20.68955233540235,17.436569232274028,1.2949571379248372,2.73987780088388,1.4449206629590428,1.0337755802964472,1.3290916231454801,0.2953160428490329
Consumer Staples,36,0.0,5.429771265365661,5.429771265365661,0.7341156841186982,0.9391802801412104,0.20506459602251215,3.185266562756459,14.760362593518874,11.575096030762415,21.0374639735344,31.877652189878,10.840188216343599,1.8719244657390082,1.9676787897376493,0.09575432399864114
Consumer Discretionary,48,0.01313750521556127,5.433047653203191,5.41991014798763,0.7531356279520627,1.49591820787022,0.7427825799181573,2.1666289481935146,11.916055523500875,9.74942657530736,19.836908123958896,29.136118326812156,9.29921020285326,6.028196180571903,8.187913784518145,2.159717603946242
Health Care,58,0.004410220939073013,4.758743883975909,4.754333663036836,1.1675384892537353,1.4373266682167003,0.26978817896296503,2.0529157416796737,12.436221300415115,10.38330555873544,11.03023782899298,17.320134842077923,6.289897013084943,0.8598213332131378,0.9182183796599622,0.05839704644682442
Real Estate,31,0.0,3.8951172116614594,3.8951172116614594,11.524543737375065,19.502324496964423,7.977780759589358,1.6886944006652318,11.375845464667876,9.687151064002643,1.4620082601162734,5.229669050385673,3.7676607902693995,0.9871655553387841,3.6383613217181616,2.6511957663793773
Energy,22,0.01345594389409634,2.899080437705136,2.8856244938110396,0.14845143192894136,1.7269641998013285,1.5785127678723871,4.880218469239563,22.953620643598683,18.07340217435912,2.976330409616548,7.669122556338993,4.692792146722445,6.308050646182962,16.524845177646327,10.216794531463364
Utilities,31,0.0,2.1905391131748653,2.1905391131748653,0.19159459859082523,3.5636233377952076,3.3720287392043824,4.167141594443649,14.031229291062427,9.864087696618778,6.10690775160996,11.334053337436476,5.227145585826516,54.401228298733976,68.63575833385643,14.234530035122454
Materials,26,0.0,1.8390982652080639,1.8390982652080639,0.9280226610855028,1.9696441126509974,1.0416214515654945,1.8442980132728868,21.676382450368425,19.83208443709554,11.108653300111689,19.06513703500075,7.95648373488906,1.5297852736483646,5.431084590805094,3.901299317156729
